DEPTH,GAMMAS,POSITRONS,ELECTRONS,MU+,MU-,HADRONS,CHARGED,NUCLEI,CHERENKOV
440,1.52443E+05,1.78360E+04,2.48400E+04,9.32000E+02,9.32000E+02,6.11000E+02,4.49550E+04,0.00000E+00,0.00000E+00
450,1.63817E+05,1.86870E+04,2.64040E+04,9.45000E+02,9.49000E+02,5.97000E+02,4.73830E+04,0.00000E+00,0.00000E+00
460,1.74036E+05,1.96000E+04,2.74340E+04,9.53000E+02,9.64000E+02,5.77000E+02,4.93260E+04,0.00000E+00,0.00000E+00
470,1.83841E+05,2.03340E+04,2.87850E+04,9.79000E+02,1.00000E+03,6.12000E+02,5.14990E+04,0.00000E+00,0.00000E+00
480,1.93388E+05,2.09570E+04,2.95490E+04,1.00200E+03,1.00000E+03,5.81000E+02,5.28900E+04,0.00000E+00,0.00000E+00
490,2.02131E+05,2.16880E+04,3.03630E+04,1.01400E+03,1.01000E+03,5.51000E+02,5.44310E+04,0.00000E+00,0.00000E+00
500,2.10016E+05,2.21620E+04,3.13830E+04,1.01200E+03,1.01800E+03,5.52000E+02,5.59290E+04,0.00000E+00,0.00000E+00
510,2.16992E+05,2.26530E+04,3.21430E+04,1.01600E+03,1.03800E+03,5.19000E+02,5.71720E+04,0.00000E+00,0.00000E+00
520,2.23100E+05,2.25610E+04,3.25630E+04,1.01400E+03,1.03300E+03,5.16000E+02,5.74970E+04,0.00000E+00,0.00000E+00
530,2.28040E+05,2.29950E+04,3.33580E+04,1.02600E+03,1.04500E+03,5.21000E+02,5.87580E+04,0.00000E+00,0.00000E+00
540,2.31721E+05,2.28710E+04,3.32700E+04,1.03300E+03,1.05100E+03,4.83000E+02,5.85220E+04,0.00000E+00,0.00000E+00
550,2.34712E+05,2.25140E+04,3.30730E+04,1.04400E+03,1.07400E+03,5.10000E+02,5.80290E+04,0.00000E+00,0.00000E+00
560,2.36451E+05,2.23580E+04,3.28920E+04,1.04000E+03,1.07600E+03,4.58000E+02,5.76460E+04,0.00000E+00,0.00000E+00
570,2.37004E+05,2.21120E+04,3.28370E+04,1.04400E+03,1.08200E+03,4.83000E+02,5.73780E+04,0.00000E+00,0.00000E+00
580,2.37321E+05,2.16660E+04,3.22820E+04,1.05900E+03,1.10900E+03,4.65000E+02,5.64060E+04,0.00000E+00,0.00000E+00
590,2.36317E+05,2.12580E+04,3.18870E+04,1.06800E+03,1.11500E+03,4.45000E+02,5.56050E+04,0.00000E+00,0.00000E+00
600,2.34469E+05,2.08380E+04,3.14310E+04,1.06600E+03,1.11600E+03,4.07000E+02,5.46930E+04,0.00000E+00,0.00000E+00
610,2.31484E+05,2.05440E+04,3.04740E+04,1.07100E+03,1.11100E+03,3.67000E+02,5.34140E+04,0.00000E+00,0.00000E+00
620,2.28187E+05,2.00720E+04,2.98070E+04,1.07200E+03,1.10100E+03,3.52000E+02,5.22560E+04,0.00000E+00,0.00000E+00
630,2.24412E+05,1.94350E+04,2.88280E+04,1.07000E+03,1.08500E+03,3.23000E+02,5.06010E+04,0.00000E+00,0.00000E+00
640,2.20117E+05,1.88610E+04,2.80490E+04,1.06900E+03,1.05900E+03,3.03000E+02,4.92060E+04,0.00000E+00,0.00000E+00
650,2.14768E+05,1.80470E+04,2.70920E+04,1.05700E+03,1.05600E+03,2.91000E+02,4.74200E+04,0.00000E+00,0.00000E+00
660,2.09287E+05,1.72560E+04,2.62130E+04,1.04200E+03,1.03500E+03,2.78000E+02,4.57000E+04,0.00000E+00,0.00000E+00
670,2.03264E+05,1.67680E+04,2.53450E+04,1.03700E+03,1.03000E+03,2.64000E+02,4.43260E+04,0.00000E+00,0.00000E+00
680,1.96840E+05,1.62200E+04,2.43110E+04,1.02400E+03,1.01800E+03,2.43000E+02,4.27050E+04,0.00000E+00,0.00000E+00
690,1.90340E+05,1.51940E+04,2.31800E+04,1.01900E+03,1.00600E+03,2.35000E+02,4.05250E+04,0.00000E+00,0.00000E+00
700,1.83245E+05,1.44520E+04,2.19630E+04,1.00300E+03,9.97000E+02,2.21000E+02,3.85350E+04,0.00000E+00,0.00000E+00
710,1.76009E+05,1.37930E+04,2.12530E+04,9.91000E+02,9.88000E+02,2.25000E+02,3.71470E+04,0.00000E+00,0.00000E+00
720,1.69045E+05,1.31530E+04,2.01100E+04,9.85000E+02,9.86000E+02,2.20000E+02,3.53560E+04,0.00000E+00,0.00000E+00
730,1.61281E+05,1.24730E+04,1.92650E+04,9.78000E+02,9.85000E+02,2.11000E+02,3.38200E+04,0.00000E+00,0.00000E+00
740,1.54161E+05,1.16960E+04,1.79900E+04,9.64000E+02,9.78000E+02,1.96000E+02,3.17380E+04,0.00000E+00,0.00000E+00
750,1.47046E+05,1.09580E+04,1.70470E+04,9.56000E+02,9.69000E+02,2.13000E+02,3.00620E+04,0.00000E+00,0.00000E+00
760,1.39741E+05,1.03910E+04,1.60700E+04,9.50000E+02,9.66000E+02,1.91000E+02,2.84960E+04,0.00000E+00,0.00000E+00
770,1.32598E+05,9.61400E+03,1.52590E+04,9.48000E+02,9.51000E+02,1.76000E+02,2.68790E+04,0.00000E+00,0.00000E+00
780,1.25248E+05,9.09500E+03,1.42950E+04,9.40000E+02,9.41000E+02,1.62000E+02,2.53710E+04,0.00000E+00,0.00000E+00
790,1.18469E+05,8.47700E+03,1.32170E+04,9.39000E+02,9.33000E+02,1.57000E+02,2.36630E+04,0.00000E+00,0.00000E+00
800,1.11714E+05,8.02300E+03,1.26320E+04,9.31000E+02,9.25000E+02,1.44000E+02,2.25990E+04,0.00000E+00,0.00000E+00
810,1.05367E+05,7.49800E+03,1.18100E+04,9.19000E+02,9.12000E+02,1.37000E+02,2.12240E+04,0.00000E+00,0.00000E+00
820,9.91360E+04,7.00400E+03,1.11130E+04,9.11000E+02,9.01000E+02,1.24000E+02,2.00040E+04,0.00000E+00,0.00000E+00
830,9.32820E+04,6.45900E+03,1.01750E+04,8.99000E+02,8.95000E+02,1.24000E+02,1.85030E+04,0.00000E+00,0.00000E+00
840,8.74470E+04,6.01900E+03,9.30800E+03,8.90000E+02,8.90000E+02,1.30000E+02,1.71860E+04,0.00000E+00,0.00000E+00
850,8.19480E+04,5.60500E+03,8.94600E+03,8.84000E+02,8.88000E+02,1.34000E+02,1.64050E+04,0.00000E+00,0.00000E+00
860,7.67100E+04,5.28300E+03,8.22600E+03,8.74000E+02,8.79000E+02,1.37000E+02,1.53460E+04,0.00000E+00,0.00000E+00
870,7.16830E+04,4.91300E+03,7.66400E+03,8.72000E+02,8.71000E+02,1.21000E+02,1.43900E+04,0.00000E+00,0.00000E+00
880,6.71660E+04,4.57500E+03,7.17700E+03,8.70000E+02,8.69000E+02,1.03000E+02,1.35480E+04,0.00000E+00,0.00000E+00
890,6.27820E+04,4.30400E+03,6.89400E+03,8.58000E+02,8.60000E+02,1.01000E+02,1.29720E+04,0.00000E+00,0.00000E+00
900,5.88700E+04,3.97500E+03,6.41000E+03,8.51000E+02,8.51000E+02,9.90000E+01,1.21440E+04,0.00000E+00,0.00000E+00
910,5.50770E+04,3.67300E+03,5.85300E+03,8.47000E+02,8.50000E+02,8.70000E+01,1.12720E+04,0.00000E+00,0.00000E+00
920,5.13840E+04,3.48600E+03,5.59800E+03,8.37000E+02,8.42000E+02,8.20000E+01,1.08100E+04,0.00000E+00,0.00000E+00
930,4.80950E+04,3.21300E+03,5.15700E+03,8.24000E+02,8.40000E+02,7.50000E+01,1.00760E+04,0.00000E+00,0.00000E+00
940,4.49090E+04,2.98200E+03,4.67800E+03,8.15000E+02,8.30000E+02,6.40000E+01,9.33600E+03,0.00000E+00,0.00000E+00
950,4.17060E+04,2.82000E+03,4.35800E+03,8.12000E+02,8.20000E+02,6.60000E+01,8.84000E+03,0.00000E+00,0.00000E+00
960,3.86760E+04,2.53700E+03,4.19800E+03,8.09000E+02,8.07000E+02,6.00000E+01,8.37900E+03,0.00000E+00,0.00000E+00
970,3.58320E+04,2.33500E+03,3.77600E+03,8.06000E+02,8.00000E+02,5.30000E+01,7.73900E+03,0.00000E+00,0.00000E+00
980,3.32640E+04,2.15000E+03,3.40600E+03,7.99000E+02,7.86000E+02,4.90000E+01,7.16200E+03,0.00000E+00,0.00000E+00
990,3.08160E+04,1.95900E+03,3.19900E+03,7.89000E+02,7.73000E+02,4.80000E+01,6.74200E+03,0.00000E+00,0.00000E+00
1000,2.86110E+04,1.84100E+03,3.03500E+03,7.82000E+02,7.68000E+02,4.50000E+01,6.44600E+03,0.00000E+00,0.00000E+00
1010,2.64730E+04,1.69700E+03,2.74300E+03,7.75000E+02,7.62000E+02,4.20000E+01,5.99600E+03,0.00000E+00,0.00000E+00
1020,2.44850E+04,1.54900E+03,2.47900E+03,7.71000E+02,7.56000E+02,4.00000E+01,5.57200E+03,0.00000E+00,0.00000E+00
1030,2.26400E+04,1.40200E+03,2.30300E+03,7.65000E+02,7.50000E+02,3.90000E+01,5.23600E+03,0.00000E+00,0.00000E+00
1040,2.16120E+04,1.32900E+03,2.18300E+03,0.00000E+00,0.00000E+00,2.30000E+01,3.51200E+03,0.00000E+00,0.00000E+00
