DEPTH,GAMMAS,POSITRONS,ELECTRONS,MU+,MU-,HADRONS,CHARGED,NUCLEI,CHERENKOV
430,8.59480E+04,9.77200E+03,1.38760E+04,5.56000E+02,5.32000E+02,4.31000E+02,2.50380E+04,0.00000E+00,0.00000E+00
440,9.19890E+04,1.03240E+04,1.45190E+04,5.85000E+02,5.60000E+02,4.33000E+02,2.62920E+04,0.00000E+00,0.00000E+00
450,9.80300E+04,1.07560E+04,1.53580E+04,5.99000E+02,5.97000E+02,4.04000E+02,2.75850E+04,0.00000E+00,0.00000E+00
460,1.03588E+05,1.13700E+04,1.60480E+04,6.16000E+02,6.10000E+02,4.44000E+02,2.89540E+04,0.00000E+00,0.00000E+00
470,1.09279E+05,1.19300E+04,1.67830E+04,6.35000E+02,6.21000E+02,4.57000E+02,3.02890E+04,0.00000E+00,0.00000E+00
480,1.14392E+05,1.23320E+04,1.75730E+04,6.72000E+02,6.35000E+02,4.53000E+02,3.15230E+04,0.00000E+00,0.00000E+00
490,1.19806E+05,1.28140E+04,1.80970E+04,6.94000E+02,6.65000E+02,4.67000E+02,3.25960E+04,0.00000E+00,0.00000E+00
500,1.24874E+05,1.34770E+04,1.90360E+04,7.21000E+02,6.99000E+02,4.90000E+02,3.42710E+04,0.00000E+00,0.00000E+00
510,1.30351E+05,1.37170E+04,1.94870E+04,7.37000E+02,7.10000E+02,5.20000E+02,3.50070E+04,0.00000E+00,0.00000E+00
520,1.35510E+05,1.40220E+04,2.00790E+04,7.52000E+02,7.40000E+02,5.46000E+02,3.59720E+04,0.00000E+00,0.00000E+00
530,1.39916E+05,1.44290E+04,2.06800E+04,7.77000E+02,7.65000E+02,5.14000E+02,3.69900E+04,0.00000E+00,0.00000E+00
540,1.44449E+05,1.47450E+04,2.10240E+04,7.84000E+02,8.03000E+02,5.52000E+02,3.77280E+04,0.00000E+00,0.00000E+00
550,1.48667E+05,1.49910E+04,2.15930E+04,8.26000E+02,8.37000E+02,5.51000E+02,3.86120E+04,0.00000E+00,0.00000E+00
560,1.52715E+05,1.50480E+04,2.19930E+04,8.35000E+02,8.47000E+02,5.08000E+02,3.90480E+04,0.00000E+00,0.00000E+00
570,1.56185E+05,1.54320E+04,2.24930E+04,8.58000E+02,8.66000E+02,5.10000E+02,3.99770E+04,0.00000E+00,0.00000E+00
580,1.59795E+05,1.58950E+04,2.30140E+04,8.75000E+02,8.75000E+02,5.03000E+02,4.09880E+04,0.00000E+00,0.00000E+00
590,1.61843E+05,1.59660E+04,2.33490E+04,0.00000E+00,0.00000E+00,1.69000E+02,3.93150E+04,0.00000E+00,0.00000E+00
