DEPTH,GAMMAS,POSITRONS,ELECTRONS,MU+,MU-,HADRONS,CHARGED,NUCLEI,CHERENKOV
450,1.24751E+05,1.05700E+04,1.56720E+04,1.37800E+03,1.35600E+03,5.04000E+02,2.92560E+04,0.00000E+00,0.00000E+00
460,1.21815E+05,1.03210E+04,1.54480E+04,1.36500E+03,1.35800E+03,4.84000E+02,2.87670E+04,0.00000E+00,0.00000E+00
470,1.18457E+05,1.01280E+04,1.49390E+04,1.35900E+03,1.34500E+03,4.38000E+02,2.80120E+04,0.00000E+00,0.00000E+00
480,1.15480E+05,9.63600E+03,1.45100E+04,1.35600E+03,1.34700E+03,4.85000E+02,2.71420E+04,0.00000E+00,0.00000E+00
490,1.12110E+05,9.44200E+03,1.41850E+04,1.36400E+03,1.34800E+03,4.58000E+02,2.66080E+04,0.00000E+00,0.00000E+00
500,1.08937E+05,9.17000E+03,1.35890E+04,1.36500E+03,1.35500E+03,4.55000E+02,2.57480E+04,0.00000E+00,0.00000E+00
510,1.05694E+05,8.77800E+03,1.31280E+04,1.35400E+03,1.35400E+03,4.36000E+02,2.48690E+04,0.00000E+00,0.00000E+00
520,1.02618E+05,8.42800E+03,1.27160E+04,1.35800E+03,1.35100E+03,3.94000E+02,2.40760E+04,0.00000E+00,0.00000E+00
530,9.94400E+04,8.01800E+03,1.22150E+04,1.35300E+03,1.33700E+03,3.63000E+02,2.31380E+04,0.00000E+00,0.00000E+00
540,9.59140E+04,7.68700E+03,1.18480E+04,1.34500E+03,1.33000E+03,3.78000E+02,2.24330E+04,0.00000E+00,0.00000E+00
550,9.23880E+04,7.42300E+03,1.13510E+04,1.34600E+03,1.33200E+03,3.71000E+02,2.16570E+04,0.00000E+00,0.00000E+00
560,8.86030E+04,6.98900E+03,1.06470E+04,1.34800E+03,1.33400E+03,3.47000E+02,2.05030E+04,0.00000E+00,0.00000E+00
570,8.50960E+04,6.58100E+03,1.00700E+04,1.33400E+03,1.33000E+03,3.38000E+02,1.94910E+04,0.00000E+00,0.00000E+00
580,8.14220E+04,6.30900E+03,9.67300E+03,1.31800E+03,1.32500E+03,3.28000E+02,1.88050E+04,0.00000E+00,0.00000E+00
590,7.95610E+04,6.15800E+03,9.43800E+03,0.00000E+00,0.00000E+00,1.42000E+02,1.55960E+04,0.00000E+00,0.00000E+00
