DEPTH,GAMMAS,POSITRONS,ELECTRONS,MU+,MU-,HADRONS,CHARGED,NUCLEI,CHERENKOV
430,1.40499E+05,1.25270E+04,1.88490E+04,1.37800E+03,1.34800E+03,4.39000E+02,3.43470E+04,0.00000E+00,0.00000E+00
440,1.38856E+05,1.23210E+04,1.85180E+04,1.36000E+03,1.33100E+03,4.52000E+02,3.37930E+04,0.00000E+00,0.00000E+00
450,1.37017E+05,1.19470E+04,1.81370E+04,1.35800E+03,1.32300E+03,4.25000E+02,3.30110E+04,0.00000E+00,0.00000E+00
460,1.34634E+05,1.16320E+04,1.74270E+04,1.35300E+03,1.32200E+03,4.26000E+02,3.19800E+04,0.00000E+00,0.00000E+00
470,1.31697E+05,1.11410E+04,1.68970E+04,1.37600E+03,1.32700E+03,4.31000E+02,3.09890E+04,0.00000E+00,0.00000E+00
480,1.28718E+05,1.09380E+04,1.66610E+04,1.37500E+03,1.32300E+03,4.34000E+02,3.05470E+04,0.00000E+00,0.00000E+00
490,1.25645E+05,1.05250E+04,1.59370E+04,1.37500E+03,1.32700E+03,4.17000E+02,2.94070E+04,0.00000E+00,0.00000E+00
500,1.22314E+05,1.01620E+04,1.55220E+04,1.37600E+03,1.33000E+03,3.89000E+02,2.86170E+04,0.00000E+00,0.00000E+00
510,1.18818E+05,9.67800E+03,1.47320E+04,1.36000E+03,1.32000E+03,3.63000E+02,2.73000E+04,0.00000E+00,0.00000E+00
520,1.14996E+05,9.29400E+03,1.41980E+04,1.35800E+03,1.31600E+03,3.76000E+02,2.63930E+04,0.00000E+00,0.00000E+00
530,1.10961E+05,8.91100E+03,1.36170E+04,1.35800E+03,1.31900E+03,3.51000E+02,2.54190E+04,0.00000E+00,0.00000E+00
540,1.07195E+05,8.58700E+03,1.30770E+04,1.35000E+03,1.31000E+03,3.34000E+02,2.45280E+04,0.00000E+00,0.00000E+00
550,1.03363E+05,8.10800E+03,1.24770E+04,1.34200E+03,1.30200E+03,3.03000E+02,2.34070E+04,0.00000E+00,0.00000E+00
560,9.93870E+04,7.79600E+03,1.20260E+04,1.32900E+03,1.29100E+03,3.01000E+02,2.26230E+04,0.00000E+00,0.00000E+00
570,9.54500E+04,7.50400E+03,1.14680E+04,1.32400E+03,1.27800E+03,2.87000E+02,2.17510E+04,0.00000E+00,0.00000E+00
580,9.13610E+04,7.18000E+03,1.09850E+04,1.30500E+03,1.27200E+03,2.70000E+02,2.09020E+04,0.00000E+00,0.00000E+00
590,8.72010E+04,6.74500E+03,1.05140E+04,1.29400E+03,1.26100E+03,2.53000E+02,1.99630E+04,0.00000E+00,0.00000E+00
600,8.33990E+04,6.42600E+03,9.91200E+03,1.29100E+03,1.25800E+03,2.48000E+02,1.90370E+04,0.00000E+00,0.00000E+00
610,7.93420E+04,5.89800E+03,9.31500E+03,1.27700E+03,1.25100E+03,2.36000E+02,1.78790E+04,0.00000E+00,0.00000E+00
620,7.52630E+04,5.53900E+03,8.56200E+03,1.27100E+03,1.23200E+03,2.11000E+02,1.67260E+04,0.00000E+00,0.00000E+00
630,7.14000E+04,5.22500E+03,8.18800E+03,1.26400E+03,1.22600E+03,1.98000E+02,1.60100E+04,0.00000E+00,0.00000E+00
640,6.74990E+04,4.82200E+03,7.60900E+03,1.25400E+03,1.21100E+03,1.88000E+02,1.49960E+04,0.00000E+00,0.00000E+00
650,6.36240E+04,4.59700E+03,7.18100E+03,1.24200E+03,1.19800E+03,1.80000E+02,1.43100E+04,0.00000E+00,0.00000E+00
660,6.01630E+04,4.30000E+03,6.75800E+03,1.23100E+03,1.18400E+03,1.73000E+02,1.35590E+04,0.00000E+00,0.00000E+00
670,5.65490E+04,3.97300E+03,6.26900E+03,1.21700E+03,1.17800E+03,1.58000E+02,1.27120E+04,0.00000E+00,0.00000E+00
680,5.29740E+04,3.74000E+03,5.95000E+03,1.20500E+03,1.16600E+03,1.49000E+02,1.21360E+04,0.00000E+00,0.00000E+00
690,4.98440E+04,3.47500E+03,5.53200E+03,1.19500E+03,1.14900E+03,1.55000E+02,1.14320E+04,0.00000E+00,0.00000E+00
700,4.67890E+04,3.28600E+03,5.08000E+03,1.19300E+03,1.13900E+03,1.52000E+02,1.07820E+04,0.00000E+00,0.00000E+00
710,4.38730E+04,2.95000E+03,4.74300E+03,1.18700E+03,1.12400E+03,1.39000E+02,1.00830E+04,0.00000E+00,0.00000E+00
720,4.09800E+04,2.77300E+03,4.49100E+03,1.17100E+03,1.11400E+03,1.28000E+02,9.61900E+03,0.00000E+00,0.00000E+00
730,3.83180E+04,2.50300E+03,4.17900E+03,1.15700E+03,1.10900E+03,1.25000E+02,9.01300E+03,0.00000E+00,0.00000E+00
740,3.58750E+04,2.43200E+03,3.77600E+03,1.14400E+03,1.10000E+03,1.31000E+02,8.52600E+03,0.00000E+00,0.00000E+00
750,3.34960E+04,2.29200E+03,3.56000E+03,1.13700E+03,1.09100E+03,1.21000E+02,8.14600E+03,0.00000E+00,0.00000E+00
760,3.13910E+04,2.16700E+03,3.36300E+03,1.13400E+03,1.07600E+03,1.24000E+02,7.80700E+03,0.00000E+00,0.00000E+00
770,2.94630E+04,2.06600E+03,3.07100E+03,1.12400E+03,1.07000E+03,1.15000E+02,7.39300E+03,0.00000E+00,0.00000E+00
780,2.75900E+04,1.84900E+03,2.99500E+03,1.12300E+03,1.06300E+03,1.12000E+02,7.09000E+03,0.00000E+00,0.00000E+00
790,2.58410E+04,1.72300E+03,2.72500E+03,1.12000E+03,1.05300E+03,9.90000E+01,6.67100E+03,0.00000E+00,0.00000E+00
800,2.40860E+04,1.65600E+03,2.65200E+03,1.11200E+03,1.04400E+03,9.90000E+01,6.51900E+03,0.00000E+00,0.00000E+00
810,2.27220E+04,1.58700E+03,2.49400E+03,1.10800E+03,1.03900E+03,9.70000E+01,6.28300E+03,0.00000E+00,0.00000E+00
820,2.13830E+04,1.46000E+03,2.33000E+03,1.10400E+03,1.02800E+03,8.80000E+01,5.97000E+03,0.00000E+00,0.00000E+00
830,2.01170E+04,1.35000E+03,2.19000E+03,1.09200E+03,1.01900E+03,9.20000E+01,5.70500E+03,0.00000E+00,0.00000E+00
840,1.90090E+04,1.38800E+03,2.11500E+03,1.07800E+03,1.01000E+03,8.60000E+01,5.63800E+03,0.00000E+00,0.00000E+00
850,1.79940E+04,1.30600E+03,2.03900E+03,1.07200E+03,1.00600E+03,8.10000E+01,5.46900E+03,0.00000E+00,0.00000E+00
860,1.70390E+04,1.22700E+03,1.97800E+03,1.06300E+03,9.99000E+02,7.70000E+01,5.31000E+03,0.00000E+00,0.00000E+00
870,1.61230E+04,1.13500E+03,1.85600E+03,1.06100E+03,9.97000E+02,7.80000E+01,5.09300E+03,0.00000E+00,0.00000E+00
880,1.52860E+04,1.08700E+03,1.75700E+03,1.06100E+03,9.93000E+02,8.50000E+01,4.95000E+03,0.00000E+00,0.00000E+00
890,1.45460E+04,1.02300E+03,1.62900E+03,1.06000E+03,9.91000E+02,1.06000E+02,4.76800E+03,0.00000E+00,0.00000E+00
900,1.38350E+04,1.04700E+03,1.67300E+03,1.05500E+03,9.90000E+02,9.20000E+01,4.81800E+03,0.00000E+00,0.00000E+00
910,1.32150E+04,9.59000E+02,1.56500E+03,1.05100E+03,9.87000E+02,8.10000E+01,4.60800E+03,0.00000E+00,0.00000E+00
920,1.25410E+04,9.54000E+02,1.46800E+03,1.04300E+03,9.78000E+02,8.00000E+01,4.49000E+03,0.00000E+00,0.00000E+00
930,1.20410E+04,9.20000E+02,1.39300E+03,1.03600E+03,9.79000E+02,7.10000E+01,4.36600E+03,0.00000E+00,0.00000E+00
940,1.14550E+04,8.82000E+02,1.33500E+03,1.02300E+03,9.73000E+02,6.60000E+01,4.24900E+03,0.00000E+00,0.00000E+00
950,1.10560E+04,8.05000E+02,1.26100E+03,1.01500E+03,9.70000E+02,6.10000E+01,4.08300E+03,0.00000E+00,0.00000E+00
960,1.06130E+04,7.74000E+02,1.21000E+03,1.00900E+03,9.64000E+02,6.00000E+01,3.99000E+03,0.00000E+00,0.00000E+00
970,1.01660E+04,7.46000E+02,1.16500E+03,1.00700E+03,9.59000E+02,6.30000E+01,3.91300E+03,0.00000E+00,0.00000E+00
980,9.72300E+03,6.75000E+02,1.15300E+03,9.96000E+02,9.57000E+02,6.00000E+01,3.81500E+03,0.00000E+00,0.00000E+00
990,9.33200E+03,6.85000E+02,1.09600E+03,9.89000E+02,9.47000E+02,5.70000E+01,3.74900E+03,0.00000E+00,0.00000E+00
1000,8.91000E+03,6.41000E+02,1.05200E+03,9.78000E+02,9.38000E+02,5.30000E+01,3.63700E+03,0.00000E+00,0.00000E+00
1010,8.44500E+03,6.05000E+02,9.50000E+02,9.73000E+02,9.33000E+02,4.90000E+01,3.48600E+03,0.00000E+00,0.00000E+00
1020,8.00100E+03,5.75000E+02,9.03000E+02,9.57000E+02,9.24000E+02,4.50000E+01,3.38300E+03,0.00000E+00,0.00000E+00
1030,7.61000E+03,5.59000E+02,8.59000E+02,9.43000E+02,9.19000E+02,4.80000E+01,3.30500E+03,0.00000E+00,0.00000E+00
1040,7.39000E+03,5.37000E+02,8.56000E+02,0.00000E+00,0.00000E+00,2.10000E+01,1.39300E+03,0.00000E+00,0.00000E+00
